TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现,平均满意度,用户占比,样本提示
0-1年,3552,846,0.23817567567567569,2.5565878378378377,159.9877224099099,3.067849099099099,0.6309058614564831,可观察
1-3年,2074,102,0.04918032786885246,3.657666345226615,206.6459836065574,3.0670202507232402,0.36838365896980463,可观察
3-5年,3,0,0.0,2.0,200.58333333333334,2.3333333333333335,0.0005328596802841918,小样本
